BHK,Property-Price,Property_Type,City1,Property-On-Floor,Property-Facing,Age-Of-Property,Super-Built-up-Construction-Area,Carpet-Construction-Area,Bathroom,Furniture-Details,Current-Status,Location,No-Of-Lift-Per-Block,Parking-Details
2.0,72.0,Residential,Ahmedabad,2.0,East,8.0,1215.0,874.5,2.0,Semi-Furnished,Self-Occupied,A-Chandkheda,2.0,Common Parking
3.0,65.0,Commercial,Ahmedabad,0.0,East,25.0,800.0,550.0,1.0,Semi-Furnished,Empty,A-Navrangpura,1.0,Common Parking
2.0,52.0,Residential,Ahmedabad,8.0,East,7.0,1000.0,650.0,2.0,Unfurnished,Empty,A-South Bopal,2.0,Reserved-Parking
3.0,15.5,Commercial,Gandhinagar,4.0,East,5.0,1000.0,980.0,1.0,Semi-Furnished,Tenant-Occupied,G-Dahegam,2.0,Common Parking
2.0,42.0,Residential,Ahmedabad,1.0,East,25.0,900.0,765.0,2.0,Semi-Furnished,Self-Occupied,A-Maninagar,2.0,Common Parking
4.0,140.0,Residential,Ahmedabad,2.0,East,40.0,1260.0,1512.0,2.0,Unfurnished,Empty,A-Bapunagar,2.0,Reserved-Parking
4.0,375.0,Residential,Ahmedabad,0.0,West,8.0,2160.0,874.5,2.0,Full-Furnished,Self-Occupied,A-Naranpura,2.0,Reserved-Parking
3.0,229.99999999999997,Residential,Ahmedabad,0.0,North,10.0,1800.0,874.5,4.0,Full-Furnished,Self-Occupied,A-South Bopal,2.0,Reserved-Parking
3.0,290.0,Residential,Ahmedabad,2.0,East,50.0,1215.0,874.5,2.0,Unfurnished,Empty,A-Paldi,2.0,Reserved-Parking
3.0,250.0,Residential,Ahmedabad,2.0,East,8.0,1215.0,874.5,1.0,Semi-Furnished,Empty,A-Paldi,2.0,Reserved-Parking
3.0,225.0,Residential,Ahmedabad,0.0,West,15.0,170.0,874.5,3.0,Semi-Furnished,Empty,A-Naroda,2.0,Reserved-Parking
4.0,97.0,Residential,Ahmedabad,1.0,South,10.0,1665.0,1035.0,3.0,Unfurnished,Empty,A-Paldi,1.0,Common Parking
