expired_tag,rejection_reasons
c-16-krishna-bhavan-kashmora-society-paldi-oct24_1220,"Price 1200.0 outside [43.20, 100.80]; Property_Type mismatch: None != Residential; Distance 11.11 km (A-Chandkheda to A-Paldi) > 6.0 km; Price 1200.0 outside [222.00, 518.00]; Distance 10.28 km (A-Gota to A-Paldi) > 6.0 km; Distance 19.14 km (A-Sanand to A-Paldi) > 6.0 km; Property_Type mismatch: Commercial != Residential; Price 1200.0 outside [18.00, 42.00]"
plot-26-27-yoginagar-3-dhandhuka-nov24_1731,"Distance 19.97 km (nan to A-Sanand) > 6.0 km; Distance 24.91 km (A-Chandkheda to A-Sanand) > 6.0 km; Distance 23.22 km (A-Maninagar to A-Sanand) > 6.0 km; Price 44.0 outside [192.60, 449.40]; Property_Type mismatch: None != Residential; Distance 18.87 km (A-Naranpura to A-Sanand) > 6.0 km; Distance 20.67 km (A-Gota to A-Sanand) > 6.0 km; Distance 14.99 km (A-Satellite to A-Sanand) > 6.0 km; Property_Type mismatch: Commercial != Residential; Price 44.0 outside [222.00, 518.00]; Price 44.0 outside [18.00, 42.00]"
23-mahavir-villa-mahudi-aug24_231,"Distance 54.26 km (A-Naranpura to G-Mahudi) > 6.0 km; Distance 53.76 km (nan to G-Mahudi) > 6.0 km; Property_Type mismatch: None != Residential; Distance 47.00 km (A-Chandkheda to G-Mahudi) > 6.0 km; Distance 49.86 km (A-Gota to G-Mahudi) > 6.0 km; Price 25.0 outside [222.00, 518.00]; Property_Type mismatch: Commercial != Residential; Distance 57.93 km (A-Satellite to G-Mahudi) > 6.0 km; Price 25.0 outside [43.20, 100.80]"
plot-24-25-moti-shiholi-alampur-dec24_1736,"Price 45.0 outside [18.00, 42.00]; Price 45.0 outside [192.60, 449.40]; Price 45.0 outside [222.00, 518.00]; Distance 115.54 km (A-Naranpura to B-Alamgir) > 6.0 km; Property_Type mismatch: None != Residential; Distance 115.47 km (A-Satellite to B-Alamgir) > 6.0 km; Distance 120.57 km (A-Gota to B-Alamgir) > 6.0 km; Distance 118.85 km (A-Chandkheda to B-Alamgir) > 6.0 km; Property_Type mismatch: Commercial != Residential; Distance 121.54 km (A-Sanand to B-Alamgir) > 6.0 km; Distance 114.88 km (nan to B-Alamgir) > 6.0 km; Distance 107.16 km (A-Maninagar to B-Alamgir) > 6.0 km"
plot-9-apple-greens-gota-oct24_1739,"Price 1050.0 outside [192.60, 449.40]; Distance 8.26 km (A-Satellite to A-Gota) > 6.0 km; Property_Type mismatch: None != Residential; Price 1050.0 outside [222.00, 518.00]; Distance 13.46 km (A-Maninagar to A-Gota) > 6.0 km; Price 1050.0 outside [43.20, 100.80]; Property_Type mismatch: Commercial != Residential"
a-503-shubhdarshan-complex-ghatlodia-feb25_798,"Property_Type mismatch: None != Residential; Distance 6.32 km (A-Chandkheda to A-Ghatlodia) > 6.0 km; Price 53.0 outside [22.20, 51.80]; Distance 14.07 km (A-Nava Naroda to A-Ghatlodia) > 6.0 km; Property_Type mismatch: Commercial != Residential"
f-17-swayam-plot-sanand-dec24_1501,"Distance 19.97 km (nan to A-Sanand) > 6.0 km; Distance 24.91 km (A-Chandkheda to A-Sanand) > 6.0 km; Distance 23.22 km (A-Maninagar to A-Sanand) > 6.0 km; Property_Type mismatch: None != Residential; Price 26.0 outside [192.60, 449.40]; Distance 18.87 km (A-Naranpura to A-Sanand) > 6.0 km; Distance 20.67 km (A-Gota to A-Sanand) > 6.0 km; Distance 14.99 km (A-Satellite to A-Sanand) > 6.0 km; Price 26.0 outside [43.20, 100.80]; Property_Type mismatch: Commercial != Residential; Price 26.0 outside [222.00, 518.00]"
86-navkar-greens-bagodara-jan25_541,"Distance 17.35 km (A-Sanand to A-Bavla) > 6.0 km; Distance 26.75 km (A-Satellite to A-Bavla) > 6.0 km; Price 8.0 outside [222.00, 518.00]; Distance 30.68 km (A-Naranpura to A-Bavla) > 6.0 km; Distance 31.43 km (nan to A-Bavla) > 6.0 km; Price 8.0 outside [192.60, 449.40]; Property_Type mismatch: None != Residential; Price 8.0 outside [18.00, 42.00]; Price 8.0 outside [43.20, 100.80]; Distance 30.37 km (A-Maninagar to A-Bavla) > 6.0 km; Property_Type mismatch: Commercial != Residential; Distance 34.62 km (A-Gota to A-Bavla) > 6.0 km; Distance 37.89 km (A-Chandkheda to A-Bavla) > 6.0 km"
unit-b-115-royal-beach-city-the-goa-feb25_1846,"Price 24.0 outside [192.60, 449.40]; Price 24.0 outside [222.00, 518.00]; Property_Type mismatch: None != Residential; Distance 100.94 km (A-Gota to A-Dholera Sir) > 6.0 km; Distance 92.76 km (A-Maninagar to A-Dholera Sir) > 6.0 km; Distance 96.20 km (A-Naranpura to A-Dholera Sir) > 6.0 km; Distance 84.45 km (A-Sanand to A-Dholera Sir) > 6.0 km; Distance 103.42 km (A-Chandkheda to A-Dholera Sir) > 6.0 km; Distance 96.65 km (nan to A-Dholera Sir) > 6.0 km; Property_Type mismatch: Commercial != Residential; Distance 92.71 km (A-Satellite to A-Dholera Sir) > 6.0 km; Price 24.0 outside [43.20, 100.80]"
plot-25-26-shreeji-park-society-adalaj-jan24_1730,"Distance 6.40 km (G-Koba to A-Adalaj) > 6.0 km; Distance 12.89 km (nan to A-Adalaj) > 6.0 km; Distance 13.13 km (A-Naranpura to A-Adalaj) > 6.0 km; Distance 6.65 km (G-Sugad to A-Adalaj) > 6.0 km; Price 300.0 outside [43.20, 100.80]; Price 300.0 outside [33.00, 77.00]; Price 300.0 outside [72.00, 168.00]; Property_Type mismatch: None != Residential; Distance 7.96 km (G-Sector 6B to A-Adalaj) > 6.0 km; Distance 6.42 km (A-Chandkheda to A-Adalaj) > 6.0 km; Distance 8.36 km (A-Gota to A-Adalaj) > 6.0 km"
