active_property_index,active_location,active_bhk,active_price_lakhs,active_area_sqft,expired_property_index,expired_location,expired_bhk,expired_price_lakhs,expired_area_sqft,days_since_expiry,similarity_score,final_score,price_difference_pct,urgency_level,suggested_message
15,P-Charholi-Khurd,1.0,25.0,525.0,103,S-Varachha,1.0,23.0,456.0,173.0,0.8482,0.8482,8.0,Low,Hi! We're receiving active inquiries for a 1BHK property in P-Charholi-Khurd at a very similar price point (₹23.0L). This is very similar to your 1BHK property in S-Varachha. Would you like to renew your package to capture these leads?
15,P-Charholi-Khurd,1.0,25.0,525.0,1522,A-Changodar,1.0,23.0,720.0,113.0,0.8076,0.8076,8.0,Low,Hi! We're receiving active inquiries for a 1BHK property in P-Charholi-Khurd at a very similar price point (₹23.0L). This is very similar to your 1BHK property in A-Changodar. Would you like to renew your package to capture these leads?
15,P-Charholi-Khurd,1.0,25.0,525.0,1621,A-narol,1.0,23.5,720.0,47.0,0.7486,0.8016,6.0,Medium,Hi! We're receiving active inquiries for a 1BHK property in P-Charholi-Khurd at a very similar price point (₹23.5L). This is very similar to your 1BHK property in A-narol. There's still strong market interest in properties like yours. Would you like to renew your package to capture these leads?
15,P-Charholi-Khurd,1.0,25.0,525.0,2169,A-narol,1.0,20.0,585.0,123.0,0.7962,0.7962,20.0,Low,Hi! We're receiving active inquiries for a 1BHK property in P-Charholi-Khurd at a slightly lower price (₹20.0L vs ₹25.0L). This is very similar to your 1BHK property in A-narol. Would you like to renew your package to capture these leads?
15,P-Charholi-Khurd,1.0,25.0,525.0,2168,A-narol,1.0,20.0,585.0,123.0,0.7962,0.7962,20.0,Low,Hi! We're receiving active inquiries for a 1BHK property in P-Charholi-Khurd at a slightly lower price (₹20.0L vs ₹25.0L). This is very similar to your 1BHK property in A-narol. Would you like to renew your package to capture these leads?
88,A-Maninagar,3.0,70.0,1215.0,824,A-Amraiwadi,3.0,65.0,1215.0,53.0,0.886,1.033,7.14,Medium,Hi! We're receiving active inquiries for a 3BHK property in A-Maninagar at a very similar price point (₹65.0L). This is very similar to your 3BHK property in A-Amraiwadi. There's still strong market interest in properties like yours. Would you like to renew your package to capture these leads?
88,A-Maninagar,3.0,70.0,1215.0,1748,A-Maninagar,2.0,67.0,1110.0,63.0,0.8947,1.0317,4.29,Medium,Hi! We're receiving active inquiries for a 3BHK property in A-Maninagar at a very similar price point (₹67.0L). This is very similar to your 2BHK property in A-Maninagar. There's still strong market interest in properties like yours. Would you like to renew your package to capture these leads?
88,A-Maninagar,3.0,70.0,1215.0,1857,A-Isanpur,3.0,70.0,1215.0,88.0,0.8997,1.0117,0.0,Medium,Hi! We're receiving active inquiries for a 3BHK property in A-Maninagar at a very similar price point (₹70.0L). This is very similar to your 3BHK property in A-Isanpur. There's still strong market interest in properties like yours. Would you like to renew your package to capture these leads?
654,A-Sabarmati,3.0,290.0,2942.0,355,A-Nava Vadaj,3.0,361.0,6020.0,184.0,0.8226,0.9226,24.48,Low,Hi! We're receiving active inquiries for a 3BHK property in A-Sabarmati at a premium price (₹361.0L vs ₹290.0L). This is very similar to your 3BHK property in A-Nava Vadaj. Would you like to renew your package to capture these leads?
654,A-Sabarmati,3.0,290.0,2942.0,763,A-Paldi,4.0,281.0,3744.0,34.0,0.804,0.87,3.1,Medium,Hi! We're receiving active inquiries for a 3BHK property in A-Sabarmati at a very similar price point (₹281.0L). This is very similar to your 4BHK property in A-Paldi. There's still strong market interest in properties like yours. Would you like to renew your package to capture these leads?
144,A-Chandlodia,3.0,125.0,400.0,118,A-New Ranip,3.0,140.0,1200.0,144.0,0.8554,0.9554,12.0,Low,Hi! We're receiving active inquiries for a 3BHK property in A-Chandlodia at a premium price (₹140.0L vs ₹125.0L). This is very similar to your 3BHK property in A-New Ranip. Would you like to renew your package to capture these leads?
1060,A-Zundal,2.0,62.5,1368.0,1445,A-Chandkheda,2.0,57.0,1170.0,199.0,0.8962,0.9962,8.8,Low,Hi! We're receiving active inquiries for a 2BHK property in A-Zundal at a very similar price point (₹57.0L). This is very similar to your 2BHK property in A-Chandkheda. Would you like to renew your package to capture these leads?
1060,A-Zundal,2.0,62.5,1368.0,2316,A-Gota,3.0,55.0,1015.0,94.0,0.8668,0.8728,12.0,Low,Hi! We're receiving active inquiries for a 2BHK property in A-Zundal at a slightly lower price (₹55.0L vs ₹62.5L). This is very similar to your 3BHK property in A-Gota. Would you like to renew your package to capture these leads?
1494,A-Gota,2.0,62.0,1080.0,1801,A-Gota,2.0,47.0,1035.0,39.0,0.9988,1.1598,24.19,Medium,Hi! We're receiving active inquiries for a 2BHK property in A-Gota at a slightly lower price (₹47.0L vs ₹62.0L). This is very similar to your 2BHK property in A-Gota. There's still strong market interest in properties like yours. Would you like to renew your package to capture these leads?
1494,A-Gota,2.0,62.0,1080.0,2115,A-Gota,3.0,72.0,1575.0,26.0,0.983,1.157,16.13,High,"Hi! We're receiving active inquiries for a 2BHK property in A-Gota at a premium price (₹72.0L vs ₹62.0L). This is very similar to your 3BHK property in A-Gota. Your listing expired recently, so this is a perfect time to renew! Would you like to renew your package to capture these leads?"
1494,A-Gota,2.0,62.0,1080.0,1997,A-Gota,2.0,61.0,1215.0,116.0,0.9857,1.0857,1.61,Low,Hi! We're receiving active inquiries for a 2BHK property in A-Gota at a very similar price point (₹61.0L). This is very similar to your 2BHK property in A-Gota. Would you like to renew your package to capture these leads?
1494,A-Gota,2.0,62.0,1080.0,2293,A-Gota,3.0,57.0,990.0,92.0,0.9721,1.0801,8.06,Low,Hi! We're receiving active inquiries for a 2BHK property in A-Gota at a very similar price point (₹57.0L). This is very similar to your 3BHK property in A-Gota. Would you like to renew your package to capture these leads?
1494,A-Gota,2.0,62.0,1080.0,1617,A-Gota,2.0,48.0,1080.0,217.0,0.9401,1.0401,22.58,Low,Hi! We're receiving active inquiries for a 2BHK property in A-Gota at a slightly lower price (₹48.0L vs ₹62.0L). This is very similar to your 2BHK property in A-Gota. Would you like to renew your package to capture these leads?
581,A-Kalupur,4.0,290.0,1215.0,296,A-Subhash Bridge,5.0,321.0,5400.0,168.0,0.8432,0.9432,10.69,Low,Hi! We're receiving active inquiries for a 4BHK property in A-Kalupur at a premium price (₹321.0L vs ₹290.0L). This is very similar to your 5BHK property in A-Subhash Bridge. Would you like to renew your package to capture these leads?
581,A-Kalupur,4.0,290.0,1215.0,1259,A-Naroda,3.0,225.0,3200.0,48.0,0.8538,0.9058,22.41,Medium,Hi! We're receiving active inquiries for a 4BHK property in A-Kalupur at a slightly lower price (₹225.0L vs ₹290.0L). This is very similar to your 3BHK property in A-Naroda. There's still strong market interest in properties like yours. Would you like to renew your package to capture these leads?
581,A-Kalupur,4.0,290.0,1215.0,1291,A-Bopal,3.0,290.0,1215.0,75.0,0.8379,0.8629,0.0,Medium,Hi! We're receiving active inquiries for a 4BHK property in A-Kalupur at a very similar price point (₹290.0L). This is very similar to your 3BHK property in A-Bopal. There's still strong market interest in properties like yours. Would you like to renew your package to capture these leads?
