Tag,Property-Price,Location,BHK,Carpet-Construction-Area,Service_Expiry_Date
1-akshar-complex-dahegma-jan25_3,15.5,G-Dahegam,3.0,980.0,2025-03-18
"1-hitendra-park-society-plot-paldi-aug24,_7",290.0,A-Paldi,3.0,872.0,2024-11-24
1-nateshwar-apartment-paldi-dec24_9,97.0,A-Paldi,4.0,1035.0,2025-06-21
1-shitvan-apartment-maninagar-feb25_12,60.0,A-Maninagar,3.0,1224.0,2025-04-28
10-national-chambers-ashram-road-oct24_25,155.0,A-Ashram Road,3.0,972.0,2025-02-05
10-new-flower-kunj-society-paldi-sep24_26,52.0,A-Paldi,2.0,872.0,2025-03-30
1007-radha-mandir-tower-maninagar-aug24_34,75.0,A-New Maninagar,3.0,1746.0,2025-02-25
104-shankheshwar-estate-changodar-may25_52,44.0,A-Changodar,3.0,1657.0,2025-07-16
105-matrix-divya-bhaskar-sg-higway-feb25_57,47.0,A-SG Highway,3.0,420.0,2025-06-04
108-royal-bunglows-nikol-jan25_60,180.0,A-Nikol,3.0,1980.0,2025-07-31
109-centre-point-gota-rent-dec24_61,24.0,A-Gota,3.0,390.0,2025-03-02
"11-abhishek-row-house-memnagar-jan24,_65",125.0,A-Memnagar,3.0,872.0,2025-05-05
11-narsinh-mehta-khancho-thengavad-raipur-nov24_71,35.0,A-raipur,3.0,872.0,2025-01-07
112-shilp-shrushti-nava-naroda-dec24_79,35.0,A-Nava Naroda,3.0,492.0,2025-03-30
113-114-shilp-arcade-bapunagar-sep24_80,140.0,A-Bapunagar,3.0,949.0,2025-01-06
117-gokuldham-society-nandsad-dec24_83,23.0,S-Varachha,1.0,872.0,2025-02-08
117-smruti-vihar-isanpur-may25_84,70.0,A-Isanpur,1.0,900.0,2025-08-06
12-maniratnam-bunglows-1-vasna-nov24_93,225.0,A-Vasna,3.0,1575.0,2025-05-11
"12-mill-officer-colony-ashram-road-oct24,_94",40.0,A-Ashram Road,3.0,872.0,2025-01-05
12-samarpan-estate-new-ranip-sep24_96,140.0,A-New Ranip,3.0,960.0,2025-03-09
12-shreeji-bunglows-bopal-dec24_98,210.0,A-Bopal,4.0,3150.0,2025-06-25
13-dhanlaxmi-industrial-estate-bakorl-dec24_101,84.0,A-Hathijan,3.0,5256.0,2025-06-15
133-sarju-arena-chandkheda-jan25_114,24.0,A-Chandkheda,3.0,872.0,2025-04-22
1376-1-durga-house-shahibaug-oct24_116,271.0,A-Shahibaug,3.0,872.0,2025-05-05
143-florish-skycity-shela-oct24_125,331.0,A-Shela,4.0,872.0,2025-05-05
16-43-gunwandh-chowk-astodia-oct24_134,65.0,A-Adalaj,3.0,872.0,2025-03-05
17-mahavir-villa-aug24_143,35.0,G-Mahudi,2.0,872.0,2025-03-06
17-stavan-signature-raysan-nov24_146,425.0,G-Raysan,4.0,2403.0,2025-05-14
19-icb-island-gota-jan25_153,122.0,A-Gota,3.0,514.0,2025-07-25
"19-swastik-vivanta-south-bopal-dec24,_154",111.00000000000001,A-South Bopal,3.0,481.0,2025-04-13
193-1-janyapir-no-tekro-vatva-feb25_155,20.0,A-Vatva,3.0,2349.0,2025-08-15
2-empire-tower-navrangpura-nov24_158,109.00000000000001,A-Ellisbridge,2.0,520.0,2025-05-26
2-mahavir-villa-mahudi-aug24_162,25.0,G-Mahudi,3.0,872.0,2025-03-06
2-s-k-house-dec-24-dec24_164,325.0,A-Bodakdev,3.0,872.0,2025-06-13
2-shakti-edific-bopal-sep24_165,130.0,A-Bopal,3.0,1170.0,2025-03-15
2-shivam-complex-navrangpura-dec24_167,155.0,A-Navrangpura,3.0,1000.0,2025-06-14
2-shivpath-apartment-maninagar-feb25_169,60.0,A-Maninagar,2.0,1071.0,2025-04-28
201-210-sahitya-icon-naroda-rent-march25_185,4.5,A-Naroda,3.0,10000.0,2025-07-22
202-santerian-vista-ambawadi-jan25_194,165.0,A-Ambawadi,3.0,1200.0,2025-07-13
21-bellevue-vieraa-phase-2-bavla-feb25_214,22.0,A-Bavla,2.0,702.0,2025-04-08
21-rameshwar-bunglows-11-kasindra-dec24_216,120.0,A-Kasindra,3.0,872.0,2025-06-14
21-sankalp-ind.-estate-nana-chiloda-nov24_217,48.0,A-nana Childoa,3.0,872.0,2025-03-15
210-shyamak-complex-ambawadi-jan25_218,121.0,A-Ambawadi,3.0,1384.0,2025-07-13
22-coral-bunglows-nana-chiloda-de24_221,200.0,A-nana Childoa,5.0,872.0,2025-04-20
22-rangwala-tower-ellisbridge-nov24_223,120.0,A-Ellisbridge,3.0,1350.0,2025-05-26
229-iscon-empria-satellite-rent-dec24_227,1.0,A-Satellite,3.0,872.0,2025-03-03
23-89-government-e-colony-bapunagar-dec24_229,90.0,A-Bapunagar,3.0,1620.0,2025-06-27
23-mahavir-villa-mahudi-aug24_231,25.0,G-Mahudi,3.0,872.0,2025-03-06
23-maulik-apartment-paldi-rent-oct24_232,18.0,A-Paldi,2.0,872.0,2024-12-15
256-surtharvas-asarwa-sept24_241,68.0,A-Shahibaug,4.0,1215.0,2025-03-23
26-sarvopari-mall-bhuyangdev-feb25_242,100.0,A-Ambawadi,3.0,390.0,2025-06-03
26-tirupati-ind-estate-narol-dec24_243,48.0,A-narol,3.0,872.0,2025-06-09
r-27-krishna-park-part-1-ramol-jan24_244,25.0,A-Ramol,1.0,790.0,2025-03-08
271-manekbaug-society-amabwadi-oct24_248,550.0,A-Ambawadi,5.0,872.0,2025-05-05
278-sutharwas-asarwa-jan25_250,75.0,A-Shahibaug,4.0,1647.0,2025-07-22
"29-dev-darshan-tenament-bopal-nov24,_257",95.0,A-Bopal,2.0,1503.0,2025-03-14
3-adhisthan-bunglows-naroda-dec24_261,200.0,A-Naroda,5.0,872.0,2025-04-30
3-durwani-society-vejalpur-sep24_262,459.99999999999994,A-Vejalpur,5.0,3825.0,2025-03-20
3-h-9-balaji-aghora-residency-chandkheda-dec24_263,82.0,A-Chandkheda,3.0,2880.0,2025-06-02
3-samta-society-subhashbridge-rent-oct24_266,10.0,A-Subhash Bridge,2.0,872.0,2024-12-17
3-shyam-vatika-jolva-jun25_270,40.0,S-Jolva,3.0,250.0,2025-08-12
3-takshashila-eco-green-vastral-april25_273,38.0,A-Vastral,2.0,756.0,2025-06-17
3-vallabh-villa-new-vip-road-oct24_274,90.0,B-New VIP Road,4.0,872.0,2025-05-05
3-2-6-silver-nest-ambawadi-oct24_277,70.0,A-Ambawadi,2.0,630.0,2025-05-05
30-niharika-bunglows-ambawadi-march25_281,310.0,A-Ambawadi,4.0,1755.0,2025-05-29
30-safalam-greens-kasindra-jan25_282,70.0,A-Kasindra,2.0,756.0,2025-07-24
302-shrushri-riddhi-apartment-vejalpur-feb25_293,23.0,A-Vejalpur,1.0,558.0,2025-04-06
304-305-306-ganesh-plaza--paldi-dec24_301,22.0,A-Paldi,3.0,220.0,2025-06-10
"315-kayakalp-complex-naroda-sep24,_323",42.0,A-Naroda,3.0,550.0,2024-12-20
33-34-shiv-industrical-park-changodar-jan24_324,130.0,A-Changodar,3.0,81000.0,2025-07-07
331-taranga-hill-society-nirnaynagar-dec24_327,65.0,A-Nirnaynagar,5.0,872.0,2025-06-22
347-krupal-pathshala-ashram-raod-sep24_333,35.5,A-Ashram Road,3.0,322.0,2025-01-14
35-janakpuri-society-ghodasar-oct24_334,77.0,A-Ghodasar,1.0,900.0,2025-05-05
35-rameshwar-bunglows-11-kasindra-march25_335,110.00000000000001,A-Kasindra,3.0,1359.0,2025-07-29
36-neminath-society-nehrunagar-may25_337,15.0,A-Nehru Nagar Ambawadi,2.0,1350.0,2025-07-05
36-siddhi-vinayak-greens-kasindra-dec24_340,138.0,A-Kasindra,2.0,872.0,2025-02-19
